orderbooker_id,day_name,storeid,storecode,latitude,longitude
1,Monday,42758,N00000041688,27.7616711,68.0920596
1,Monday,42763,N00000041693,27.7617285,68.0920703
1,Monday,42762,N00000041692,27.7618601,68.0920398
1,Monday,42772,N00000041702,27.7618978,68.0921293
1,Monday,42760,N00000041690,27.7617343,68.0921062
1,Monday,42779,N00000041709,27.7613806,68.0936248
1,Monday,42767,N00000041697,27.7607075,68.0961996
1,Tuesday,42774,N00000041704,27.7605756,68.0961768
1,Tuesday,42793,N00000041723,27.7618267,68.0907849
1,Wednesday,42758,N00000041688,27.7616711,68.0920596
1,Wednesday,42787,N00000041717,27.7618269,68.0920425
1,Wednesday,42769,N00000041699,27.761757,68.0920228
1,Wednesday,42784,N00000041714,27.7616602,68.092016
1,Wednesday,42776,N00000041706,27.7611375,68.092605
1,Wednesday,42777,N00000041707,27.7609778,68.0956914
1,Wednesday,42770,N00000041700,27.7609445,68.095386
1,Thursday,42759,N00000041689,27.7617471,68.0920632
1,Thursday,42768,N00000041698,27.7613628,68.09245
1,Thursday,42771,N00000041701,27.7607328,68.0962479
1,Thursday,42773,N00000041703,27.7606509,68.0961444
1,Thursday,42766,N00000041696,27.7611204,68.0953525
1,Thursday,42789,N00000041719,27.7617226,68.0919803
1,Friday,42779,N00000041709,27.7613806,68.0936248
1,Friday,42783,N00000041713,27.7618043,68.0920735
1,Friday,97087,N00000094462,27.761739,68.0919925
1,Friday,42792,N00000041722,27.7618627,68.0920313
1,Friday,42786,N00000041716,27.7618562,68.0920079
1,Friday,42778,N00000041708,27.7618297,68.0920136
1,Friday,42785,N00000041715,27.7620119,68.0916671
1,Friday,42782,N00000041712,27.7619447,68.0917873
1,Friday,42757,N00000041687,27.7617766,68.0918337
1,Friday,42794,N00000041724,27.7617744,68.0920819
1,Friday,42777,N00000041707,27.7609778,68.0956914
1,Saturday,97089,N00000094464,27.7617254,68.0919946
1,Saturday,42788,N00000041718,27.7612912,68.0880298
1,Saturday,42791,N00000041721,27.7613089,68.0880743
1,Saturday,97086,N00000094461,27.7615812,68.0893847
1,Saturday,97090,N00000094465,27.7617488,68.0920226
1,Sunday,42781,N00000041711,27.7616901,68.0921249
1,Sunday,42761,N00000041691,27.7618324,68.0921142
1,Sunday,42765,N00000041695,27.7618399,68.0920704
1,Sunday,42757,N00000041687,27.7617766,68.0918337
1,Sunday,42790,N00000041720,27.7617723,68.0920358
1,Sunday,42764,N00000041694,27.7617747,68.0920497
1,Sunday,42780,N00000041710,27.7616733,68.0920797
1,Sunday,42775,N00000041705,27.761798,68.0920702
1,Sunday,42776,N00000041706,27.7611375,68.092605
